Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
99365553$Lightpulsar Dragon$Unlimited$LIGHT$[Dragon/Effect]$$$$$6$2500$1500$$$$You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. You can Special Summon this card (from your GY) by sending 1 LIGHT and 1 DARK monster from your hand to the GY. When this card is sent from the field to the GY: You can target 1 Level 5 or higher DARK Dragon monster in your GY; Special Summon that target.$Dragon/LIGHT/DARK$$Sends from hand to Graveyard for cost/Activates from your Graveyard$Unclassified/Trigger$
25460258$Darkflare Dragon$Unlimited$DARK$[Dragon/Effect]$$$$$5$2400$1200$$$$You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. Once per turn: You can send 1 Dragon monster from your hand and 1 Dragon monster from your Deck to the GY, then target 1 card in either GY; banish that target.$Dragon/LIGHT/DARK$$Sends from hand to Graveyard for cost/Sends from your Deck to your Graveyard for cost$Unclassified/Ignition$
51858306$Eclipse Wyvern$Forbidden(OCG)$LIGHT$[Dragon/Effect]$$$$$4$1600$1000$$$$If this card is sent to the Graveyard: Banish 1 Level 7 or higher LIGHT or DARK Dragon-Type monster from your Deck. If this card is banished from your Graveyard: You can add the monster banished by this card's effect to your hand.$LIGHT/DARK/Dragon$$Activates from your Graveyard/Adds banished cards to the hand$Trigger$
89631139$Blue-Eyes White Dragon$Unlimited$LIGHT$[Dragon/Normal]$$$$$8$3000$2500$$$$This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.$$$$$
74677422$Red-Eyes Black Dragon$Unlimited$DARK$[Dragon/Normal]$$$$$7$2400$2000$$$$A ferocious dragon with a deadly attack.$$$$$
79814787$The White Stone of Legend$Unlimited$LIGHT$[Dragon/Tuner/Effect]$$$$$1$300$250$$$$If this card is sent to the GY: Add 1 "Blue-Eyes White Dragon" from your Deck to your hand.$Blue-Eyes White Dragon$$Activates from your Graveyard/Adds from Deck to hand$Trigger$
36262024$Black Dragon's Chick$Unlimited$DARK$[Dragon/Effect]$$$$$1$800$500$$$$You can send this face-up card you control to the GY; Special Summon 1 "Red-Eyes Black Dragon" from your hand.$Red-Eyes Black Dragon$$Sends itself from field to Graveyard for cost$Ignition$
84914462$Axe Dragonute$Unlimited$DARK$[Dragon/Effect]$$$$$4$2000$1200$$$$If this card attacks, it is changed to Defense Position at the end of the Damage Step.$$$Changes battle positions$Continuous$
54343893$Vice Dragon$Unlimited$DARK$[Dragon/Effect]$$$$$5$2000$2400$$$$If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand), but its original ATK and DEF become halved.$$$Activates from your hand$Summon$
21785144$Gragonith, Lightsworn Dragon$Unlimited$LIGHT$[Dragon/Effect]$$$$$6$2000$1600$$$$This card gains 300 ATK and DEF for each "Lightsworn" monster with a different name in your Graveyard. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. During each of your End Phases: Send the top 3 cards of your Deck to the Graveyard.$Supports archetypes /Lightsworn$$Sends from the top of your Deck to your Graveyard$Continuous/Trigger$
