Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
23401839$Senju of the Thousand Hands$Unlimited$LIGHT$[Fairy/Effect]$$$$$4$1400$1000$$$$When this card is Normal or Flip Summoned: You can add 1 Ritual Monster from your Deck to your hand.$Ritual Monster$$Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand$Trigger$
57617178$Sonic Bird$Unlimited$WIND$[Winged Beast/Effect]$$$$$4$1400$1000$$$$When this card is Normal or Flip Summoned: You can add 1 Ritual Spell from your Deck to your hand.$Ritual Spell Card$$Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand$Trigger$
54878498$Kelbek$Unlimited$EARTH$[Fairy/Effect]$$$$$4$1500$1800$$$$If this card is attacked by a monster, after damage calculation: Return that monster to the hand.$$$Returns from field to hand/Returns battling monster to hand after damage calculation$Trigger$
41442341$Puppet Master$Unlimited$DARK$[Fiend/Effect]$$$$$6$0$0$$$$When this card is Tribute Summoned: You can pay 2000 LP, then target 2 Fiend monsters in your GY; Special Summon those targets, but they cannot attack this turn.$Fiend$$Activates upon Tribute Summon$Trigger$
14778250$The Tricky$Unlimited$WIND$[Spellcaster/Effect]$$$$$5$2000$1200$$$$You can Special Summon this card (from your hand) by discarding 1 card.$$$Discards for cost$Unclassified$
74388798$Silent Swordsman LV5$Unlimited$LIGHT$[Warrior/Effect]$$$$$5$2300$1000$$$$Unaffected by your opponent's Spell effects. During your next Standby Phase after this card inflicts battle damage to your opponent by a direct attack: You can send this face-up card to the Graveyard; Special Summon 1 "Silent Swordsman LV7" from your hand or Deck.$Silent Swordsman LV7$$Activates when it inflicts battle damage/Sends itself from field to Graveyard for cost$Continuous/Trigger$
37744402$Wynn the Wind Charmer$Unlimited$WIND$[Spellcaster/Flip/Effect]$$$$$3$500$1500$$$$FLIP: Target 1 WIND monster your opponent controls; take control of that target while this card is face-up on the field.$$WIND$Changes control$Flip$
59464593$Armed Dragon LV10$Unlimited$WIND$[Dragon/Effect]$$$$$10$3000$2000$$$$Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 "Armed Dragon LV7". You can send 1 card from your hand to the GY; destroy all face-up monsters your opponent controls.$Armed Dragon LV7$$Tributes for cost/Sends from hand to Graveyard for cost$Summon/Ignition$
76459806$Volcanic Rocket$Unlimited$FIRE$[Pyro/Effect]$$$$$4$1900$1400$$$$When this card is Summoned: You can add 1 "Blaze Accelerator" card from your Deck or GY to your hand.$Supports archetypes /Blaze Accelerator $$Adds from Deck to hand/Adds from Graveyard to hand$Trigger$
66436257$Volcanic Counter$Unlimited$FIRE$[Pyro/Effect]$$$$$3$300$1300$$$$When you take battle damage while this card is in your Graveyard: Banish it from your Graveyard, then if there is a FIRE monster other than "Volcanic Counter" in your Graveyard, inflict damage to your opponent equal to the amount of battle damage you took.$FIRE$$Activates if you take battle damage/Activates from your Graveyard$Trigger$
21672573$Emperor Sem$Unlimited$LIGHT$[Fiend/Effect]$$$$$4$1300$2200$$$$Each time you Tribute Summon a monster, each player can select 1 card from their Graveyard and return it to the top of their Deck.$$$Returns from your Graveyard to your Deck/Returns from your opponent's Graveyard to your opponent's Deck$Trigger$
59575539$Krebons$Unlimited$DARK$[Psychic/Tuner/Effect]$$$$$2$1200$400$$$$When this card is targeted for an attack: You can pay 800 LP; negate the attack.$$$$Trigger$
88671720$Black Salvo$Unlimited$DARK$[Machine/Tuner/Effect]$$$$$3$100$1100$$$$When this card is Normal Summoned: You can target 1 Level 4 DARK Machine-Type monster in your Graveyard; Special Summon that target in Defense Position, but its effects are negated.$DARK/Machine$$Activates upon Normal Summon$Trigger$
