Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
38033121$Dark Magician Girl$Unlimited$DARK$[Spellcaster/Effect]$$$$$6$2000$1700$$$$Gains 300 ATK for every "Dark Magician" or "Magician of Black Chaos" in the GYs.$Dark Magician/Magician of Black Chaos$$$Continuous$
50237654$The Dark Magicians$Unlimited$DARK$[Spellcaster/Fusion/Effect]$$$$$8$2800$2300$$"Dark Magician" or "Dark Magician Girl" + 1 Spellcaster monster$$Once per turn, if a Spell/Trap Card or effect is activated (except during the Damage Step): You can draw 1 card, then if it was a Spell/Trap, you can Set it, and if it was a Trap or Quick-Play Spell, you can activate it this turn. If this card is destroyed: You can Special Summon both 1 "Dark Magician" and 1 "Dark Magician Girl" from your hand, Deck, and/or GY.$Spellcaster/Quick-Play Spell Card/Dark Magician/Dark Magician Girl$$You draw cards/Shows the player's drawn cards/Sets from your hand/Activates if destroyed by battle/Activates if destroyed by card effect$Trigger$
97631303$Magicians' Souls$Unlimited$DARK$[Spellcaster/Effect]$$$$$1$0$0$$$$You can send up to 2 Spells/Traps from your hand and/or field to the GY; draw that many cards. If this card is in your hand: You can send 1 Level 6 or higher Spellcaster monster from your Deck to the GY, then activate 1 of these effects;●Special Summon this card.●Send this card to the GY, then, you can Special Summon 1 "Dark Magician" or 1 "Dark Magician Girl" from your GY.You can only use each effect of "Magicians' Souls" once per turn.$Spellcaster/Dark Magician/Dark Magician Girl$$Activates from your hand/Sends from Deck to Graveyard for cost/Sends itself from hand to Graveyard/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/You draw cards$Ignition/Condition$
23020408$Soul Servant$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Place 1 card on top of the Deck from your hand, Deck, or GY, that is "Dark Magician" or mentions "Dark Magician" or "Dark Magician Girl", except "Soul Servant". During your Main Phase: You can banish this card from your GY; draw cards equal to the number of "Palladium" monsters, "Dark Magician", and/or "Dark Magician Girl", with different names, on the field and in the GYs. You can only use this effect of "Soul Servant" once per turn.$Supports archetypes /Palladium$$Returns from your Graveyard to your Deck/Returns from hand to Deck/Places cards from the Deck on the top of the Deck/Activates from your Graveyard/You draw cards$Effect/Ignition-like/Condition$
59514116$Secrets of Dark Magic$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Activate 1 of the following effects.●Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field, including "Dark Magician" or "Dark Magician Girl", as Fusion Material.●Ritual Summon 1 Ritual Monster from your hand, by Tributing monsters from your hand or field, including "Dark Magician" or "Dark Magician Girl", whose total Levels equal or exceed the Level of the Ritual Monster.$Fusion Monster/Ritual Monster/Dark Magician/Dark Magician Girl$$Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards on the player's field as Fusion Materials/Uses cards in the hand as Fusion Materials/Tributes as an effect$Effect$
86509711$Magicians' Combination$Unlimited$TRAP$$$$$$$$$Continuous$$$Once per turn, when a card or effect is activated (except during the Damage Step): You can Tribute 1 "Dark Magician" or 1 "Dark Magician Girl"; Special Summon 1 "Dark Magician" or 1 "Dark Magician Girl" from your hand or GY, with a different name from the Tributed monster, and if you do, negate that activated effect. If this face-up card is sent from the Spell & Trap Zone to the GY: You can destroy 1 card on the field.$Dark Magician/Dark Magician Girl$$Tributes for cost/Activates from your Graveyard$Quick-like/Trigger-like$
35191415$Magician of Dark Illusion$Unlimited$DARK$[Spellcaster/Effect]$$$$$7$2100$2500$$$$This card's name becomes "Dark Magician" while on the field. You can only use each of these effects of "Magician of Dark Illusion" once per turn.●During your opponent's turn, if you activate a Spell/Trap Card or effect (except during the Damage Step): You can Special Summon this card from your hand.●If you activate a Spell/Trap Card or effect while this card is face-up on your field (except during the Damage Step): You can target 1 "Dark Magician" in your GY; Special Summon it. This effect can only be used once while this card is face-up on the field.$Dark Magician$$Activates from your hand$Continuous/Condition/Trigger$
30603688$Apprentice Illusion Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$6$2000$1700$$$$You can Special Summon this card (from your hand) by discarding 1 card. If this card is Normal or Special Summoned: You can add 1 "Dark Magician" from your Deck to your hand. During damage calculation, if your other DARK Spellcaster monster battles an opponent's monster (Quick Effect): You can send this card from your hand or face-up field to the GY; that monster you control gains 2000 ATK/DEF during that damage calculation only.$Dark Magician/DARK/Spellcaster$$Activates from your hand/Discards for cost/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost$Unclassified/Trigger/Quick$
07084129$Magician's Rod$Unlimited$DARK$[Spellcaster/Effect]$$$$$3$1600$100$$$$When this card is Normal Summoned: You can add 1 Spell/Trap from your Deck to your hand, that mentions "Dark Magician". During your opponent's turn, if you activate a Spell/Trap Card or effect while this card is in your GY (except during the Damage Step): You can Tribute 1 Spellcaster monster; add this card to your hand. You can only use each effect of "Magician's Rod" once per turn.$Dark Magician$$Activates upon Normal Summon/Adds from Deck to hand/Activates from your Graveyard/Tributes for cost/Adds from Graveyard to hand$Trigger/Condition$
47222536$Dark Magical Circle$Unlimited$SPELL$$$$$$$$$Continuous$$$When this card is activated: Look at the top 3 cards of your Deck, then you can reveal 1 of them that is "Dark Magician" or a Spell/Trap that mentions "Dark Magician", and add it to your hand, also place the remaining cards on top of your Deck in any order. If "Dark Magician" is Normal or Special Summoned to your field (except during the Damage Step): You can target 1 card your opponent controls; banish it. You can only use each effect of "Dark Magical Circle" once per turn.$Dark Magician$$Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Looks at cards from the top of the player's Deck/Reveals cards from your Deck/Changes Deck order/Places cards from the Deck on the top of the Deck$Effect/Trigger-like/Condition$
73616671$Illusion Magic$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Tribute 1 Spellcaster monster; add up to 2 copies of "Dark Magician" from your Deck and/or GY to your hand. You can only activate 1 "Illusion Magic" per turn.$Spellcaster/Dark Magician$$Tributes for cost/Adds from Deck to hand/Adds from Graveyard to hand$Cost/Effect/Condition$
07922915$Magician Navigation$Unlimited$TRAP$$$$$$$$$$$$Special Summon 1 "Dark Magician" from your hand, then Special Summon 1 Level 7 or lower DARK Spellcaster monster from your Deck. If you control "Dark Magician", except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 face-up Spell/Trap your opponent controls; negate its effects until the end of this turn.$Dark Magician/DARK/Spellcaster$$Activates from your Graveyard$Effect/Quick-like$
22908820$Elemental HERO Sunrise$Unlimited$LIGHT$[Warrior/Fusion/Effect]$$$$$7$2500$1200$$2 "HERO" monsters with different Attributes$$Must be Fusion Summoned. Monsters you control gain 200 ATK for each different Attribute you control. You can only use each of the following effects of "Elemental HERO Sunrise" once per turn.●If this card is Special Summoned: You can add 1 "Miracle Fusion" from your Deck to your hand.●When an attack is declared involving another "HERO" monster you control: You can target 1 card on the field; destroy it.$Supports archetypes /HERO$$Activates upon Special Summon/Adds from Deck to hand/Activates upon attack declaration$Condition/Continuous/Trigger$
59392529$Elemental HERO Liquid Soldier$Unlimited$WATER$[Warrior/Effect]$$$$$4$1400$1300$$$$When this card is Normal Summoned: You can target 1 Level 4 or lower "HERO" monster in your GY, except "Elemental HERO Liquid Soldier"; Special Summon it. If this card is used as Fusion Material for a "HERO" monster, and sent to the GY or banished: You can draw 2 cards, then discard 1 card. You can only use 1 "Elemental HERO Liquid Soldier" effect per turn, and only once that turn.$Supports archetypes /HERO$$Activates upon Normal Summon/Activates if used as Fusion Material/Activates from your Graveyard/Activates while banished/You draw cards/Discards for effect$Trigger/Condition$
$Generation Next$$SPELL$$$$$$$$$Quick-Play$$$If your LP are lower than your opponent's: Add to your hand, or Special Summon, 1 "Elemental HERO" monster, "Kuriboh" monster, or "Neo-Spacian" monster from your Deck or GY, with ATK less than or equal to the difference in LPs, also for the rest of this turn, you cannot activate cards, or the effects of cards, with the same name as that card. You can only activate 1 "Generation Next" per turn.$$$$$
11881272$Favorite Hero$Unlimited$SPELL$$$$$$$$$Equip$$$Equip only to a Level 5 or higher "HERO" monster. If you control a card in your Field Zone, the equipped monster gains ATK equal to its original DEF, also your opponent cannot target it with card effects. At the start of the Battle Phase: You can activate 1 Field Spell directly from your hand or Deck. You can only use this effect of "Favorite Hero" once per turn. When the equipped monster attacks and destroys an opponent's monster by battle: You can send this card to the GY; the attacking monster can make a second attack in a row.$Supports archetypes /HERO$$Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost/Activates cards from your hand/Activates cards from your Deck$Condition/Continuous-like/Trigger-like$
