Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
97896503$Zubaba Knight$Unlimited$EARTH$[Warrior/Effect]$$$$$3$1600$900$$$$At the start of the Damage Step, if this card attacks a face-up Defense Position monster: Destroy that monster.$$$$Trigger$
26082117$Gagaga Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1500$1000$$$$Once per turn: You can declare a Level from 1 to 8; this card becomes that Level until the End Phase. You can only control 1 "Gagaga Magician". This card cannot be used as a Synchro Material Monster.$$$Declares a Level$Ignition/Unclassified/Condition$
62476815$Gogogo Golem$Unlimited$EARTH$[Rock/Effect]$$$$$4$1800$1500$$$$Once per turn, this Defense Position card cannot be destroyed by battle.$$$$Continuous$
98865920$Achacha Archer$Unlimited$FIRE$[Warrior/Effect]$$$$$3$1200$600$$$$When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.$$$Activates upon Normal Summon/Activates upon Flip Summon$Trigger$
25259669$Goblindbergh$Unlimited$EARTH$[Warrior/Effect]$$$$$4$1400$0$$$$When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand, also, after that, change this card to Defense Position.$$$Changes battle positions$Trigger$
51254277$Big Jaws$Unlimited$WATER$[Fish/Effect]$$$$$3$1800$300$$$$At the end of the Battle Phase, if this card attacked: Banish it.$$$$Trigger$
98649372$Skull Kraken$Unlimited$DARK$[Aqua/Effect]$$$$$3$600$1600$$$$When this card is Normal Summoned: You can target 1 face-up Spell Card your opponent controls; destroy that target. Once per turn: You can change the Battle Position of this card.$$$Changes battle positions$Trigger/Ignition$
93717133$Galaxy-Eyes Photon Dragon$Unlimited$LIGHT$[Dragon/Effect]$$$$$8$3000$2500$$$$You can Special Summon this card (from your hand) by Tributing 2 monsters with 2000 or more ATK. During the Battle Step, if this card battles an opponent's monster (Quick Effect): You can target that opponent's monster; banish both this card from the field and that target. Return those banished monsters to the field at the end of the Battle Phase, and if you banished an Xyz Monster, this card gains 500 ATK for each material it had when it was banished.$$Xyz Material/Xyz Monster$Tributes for cost/Returns banished cards to the field/Returns itself to the field while banished$Summon/Quick$
94656263$Kagetokage$Unlimited$DARK$[Reptile/Effect]$$$$$4$1100$1500$$$$Cannot be Normal Summoned/Set. Must first be Special Summoned by its own effect. When you Normal Summon a Level 4 monster: You can Special Summon this card from your hand. Cannot be used as Synchro Material.$$$Activates upon Normal Summon$Summon/Trigger/Condition$
93830681$Friller Rabca$Unlimited$WATER$[Fish/Effect]$$$$$3$700$1500$$$$When a Fish, Sea Serpent, or Aqua-Type monster you control is targeted for an attack: You can banish this card from your Graveyard, then target the attacking monster; negate the attack, and if you do, that target loses 500 ATK until the end of the next turn. You can only use this effect of "Friller Rabca" once per turn.$Fish/Sea Serpent/Aqua$$Activates from your Graveyard$Trigger$
56223084$Needle Sunfish$Unlimited$WATER$[Fish/Effect]$$$$$3$1500$100$$$$When this card is sent to the Graveyard: Target 1 face-up monster your opponent controls; that target loses 500 ATK.$$$Activates from your Graveyard$Trigger$
