Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
43096270$Alexandrite Dragon$Unlimited$LIGHT$[Dragon/Normal]$$$$$4$2000$100$$$$Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.$$$$$
80770678$Spirit of the Harp$Unlimited$LIGHT$[Fairy/Normal]$$$$$4$800$2000$$$$A spirit that soothes the soul with the music of its heavenly harp.$$$$$
06631034$Frostosaurus$Unlimited$WATER$[Dinosaur/Normal]$$$$$6$2600$1700$$$$This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage.$$$$$
97896503$Zubaba Knight$Unlimited$EARTH$[Warrior/Effect]$$$$$3$1600$900$$$$At the start of the Damage Step, if this card attacks a face-up Defense Position monster: Destroy that monster.$$$$Trigger$
24291651$Ganbara Knight$Unlimited$LIGHT$[Warrior/Effect]$$$$$4$0$1800$$$$When this face-up Attack Position card is targeted for an attack: You can change it to Defense Position.$$$Changes battle positions$Trigger$
62476815$Gogogo Golem$Unlimited$EARTH$[Rock/Effect]$$$$$4$1800$1500$$$$Once per turn, this Defense Position card cannot be destroyed by battle.$$$$Continuous$
39695323$Gogogo Giant$Unlimited$EARTH$[Rock/Effect]$$$$$4$2000$0$$$$When this card is Normal Summoned: You can target 1 "Gogogo" monster in your GY; Special Summon that target in Defense Position, then change this card to Defense Position. If this card attacks, it is changed to Defense Position at the end of the Battle Phase.$Supports archetypes /Gogogo$$Activates upon Normal Summon/Changes battle positions$Trigger/Continuous$
25259669$Goblindbergh$Unlimited$EARTH$[Warrior/Effect]$$$$$4$1400$0$$$$When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand, also, after that, change this card to Defense Position.$$$Changes battle positions$Trigger$
50785356$Feedback Warrior$Unlimited$EARTH$[Warrior/Effect]$$$$$3$800$700$$$$When this card is Normal or Special Summoned: You can target 1 face-up monster you control; it becomes Level 3.$$$Activates upon Normal Summon/Activates upon Special Summon$Trigger$
86952477$Shine Knight$Unlimited$LIGHT$[Warrior/Effect]$$$$$3$400$1900$$$$This card is Level 4 while in face-up Defense Position.$$$$Continuous$
70095154$Cyber Dragon$Unlimited$LIGHT$[Machine/Effect]$$$$$5$2100$1600$$$$If only your opponent controls a monster, you can Special Summon this card (from your hand).$$$Activates from your hand$Unclassified$
20474741$Trident Warrior$Unlimited$LIGHT$[Warrior/Effect]$$$$$4$1800$1200$$$$When this card is Normal Summoned: You can Special Summon 1 Level 3 monster from your hand.$$$Activates upon Normal Summon$Trigger$
16956455$Chiron the Mage$Unlimited$EARTH$[Beast-Warrior/Effect]$$$$$4$1800$1000$$$$Once per turn: You can discard 1 Spell, then target 1 Spell/Trap your opponent controls; destroy that target.$$$Discards for cost$Ignition$
02460565$Marauding Captain$Unlimited$EARTH$[Warrior/Effect]$$$$$3$1200$400$$$$Your opponent cannot target Warrior monsters for attacks, except this one. When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower monster from your hand.$Warrior$$Activates upon Normal Summon$Continuous/Trigger$
93920745$Penguin Soldier$Unlimited$WATER$[Aqua/Flip/Effect]$$$$$2$750$500$$$$FLIP: You can target up to 2 monsters on the field; return those targets to the hand.$$$Returns from field to hand/Returns from your field to your hand/Returns from your opponent's field to your opponent's hand$Flip$
26202165$Sangan$Unlimited$DARK$[Fiend/Effect]$$$$$3$1000$600$$$$If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of "Sangan" once per turn.$$$Activates from your Graveyard/Adds from Deck to hand$Trigger/Condition$
97017120$Giant Rat$Unlimited$EARTH$[Beast/Effect]$$$$$4$1400$1450$$$$When this card is destroyed by battle and sent to the GY: You can Special Summon 1 EARTH monster with 1500 or less ATK from your Deck in Attack Position.$EARTH$$Activates from your Graveyard$Trigger$
95956346$Shining Angel$Unlimited$LIGHT$[Fairy/Effect]$$$$$4$1400$800$$$$When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 LIGHT monster with 1500 or less ATK from your Deck, in face-up Attack Position.$LIGHT$$Activates from your Graveyard$Trigger$
22346472$Blustering Winds$Unlimited$SPELL$$$$$$$$$$$$Target 1 face-up monster you control; it gains 1000 ATK and DEF until your next Standby Phase.$$$$Effect$
73178098$Ego Boost$Unlimited$SPELL$$$$$$$$$Quick-Play$$$When a monster declares an attack: Target 1 face-up monster on the field; it gains 1000 ATK until the end of the Battle Phase.$$$Activates upon attack declaration$Activation requirement/Effect$
85839825$Xyz Energy$Unlimited$SPELL$$$$$$$$$$$$Detach 1 Xyz Material you control to target 1 face-up monster your opponent controls; destroy that target.$Xyz Monster$$Detaches Xyz Materials for cost$Cost/Effect$
63485233$Star Changer$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Target 1 face-up monster on the field and activate 1 of these effects;● Increase that target's Level by 1.● Reduce that target's Level by 1.$$$$Effect$
72302403$Swords of Revealing Light$Unlimited$SPELL$$$$$$$$$$$$After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.$$$Flips monsters face-up$Condition/Effect/Continuous-like$
05318639$Mystical Space Typhoon$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Target 1 Spell/Trap on the field; destroy that target.$$$$Effect$
66788016$Fissure$Unlimited$SPELL$$$$$$$$$$$$Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).$$$$Effect$
32022366$Gravity Axe - Grarl$Unlimited$SPELL$$$$$$$$$Equip$$$The equipped monster gains 500 ATK. Monsters your opponent controls cannot change their battle positions.$$$Prevents Battle Position changes$Continuous-like$
32807846$Reinforcement of the Army$Limited$SPELL$$$$$$$$$$$$Add 1 Level 4 or lower Warrior monster from your Deck to your hand.$Warrior$$Adds from Deck to hand$Effect$
44947065$Burden of the Mighty$Unlimited$SPELL$$$$$$$$$Continuous$$$Each face-up monster your opponent controls loses 100 ATK x its own Level.$$$$Continuous-like$
32065885$Heartfelt Appeal$Unlimited$TRAP$$$$$$$$$$$$When you take battle damage from your opponent's direct attack: Take control of the 1 face-up monster your opponent controls with the highest DEF, until your next End Phase. (If it's a tie, you get to choose.) Its effects are negated, also it cannot declare an attack.$$$Activates if you take battle damage/Changes control$Activation requirement/Effect$
58628539$Xyz Effect$Unlimited$TRAP$$$$$$$$$$$$When you Xyz Summon a monster: You can target 1 card on the field; destroy it.$Xyz Monster$$Activates upon Xyz Summon$Activation requirement/Effect$
04178474$Raigeki Break$Unlimited$TRAP$$$$$$$$$$$$Discard 1 card, then target 1 card on the field; destroy it.$$$Discards for cost$Cost/Effect$
