Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
29436665$Dark Eradicator Warlock$Unlimited$DARK$[Spellcaster/Effect]$$$$$7$2500$2100$$$$Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 "Dark Magician", and cannot be Special Summoned by other ways. Each time a Normal Spell Card is activated, inflict 1000 damage to your opponent immediately after it resolves.$Dark Magician/Normal Spell Card$$Tributes for cost$Summon/Continuous$
55424270$Mythical Beast Cerberus$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$1400$1400$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 500 ATK for each Spell Counter on it. At the end of the Battle Phase, if this card battled, remove all Spell Counters on it.$$$$Continuous$
46986414$Dark Magician$Unlimited$DARK$[Spellcaster/Normal]$$$$$7$2500$2100$$$$The ultimate wizard in terms of attack and defense.$$$$$
69140098$Gemini Elf$Unlimited$EARTH$[Spellcaster/Normal]$$$$$4$1900$900$$$$Elf twins that alternate their attacks.$$$$$
31560081$Magician of Faith$Unlimited$LIGHT$[Spellcaster/Flip/Effect]$$$$$1$300$400$$$$FLIP: Target 1 Spell in your GY; add that target to your hand.$Spell Card$$Returns from Graveyard to hand$Flip$
73752131$Skilled Dark Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1900$1700$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 "Dark Magician" from your hand, Deck, or GY.$Dark Magician$$Tributes itself for cost$Continuous/Ignition$
09156135$Apprentice Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$2$400$800$$$$If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.$Spellcaster$$Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Activates from your Graveyard$Trigger$
72630549$Chaos Command Magician$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$6$2400$1900$$$$Negate any monster effects that target this 1 card.$$$$Continuous$
71413901$Breaker the Magical Warrior$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1600$1000$$$$If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). Gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card, then target 1 Spell/Trap on the field; destroy that target.$$$Activates upon Normal Summon$Trigger/Continuous/Ignition$
70791313$Royal Magical Library$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$0$2000$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves (max. 3). You can remove 3 Spell Counters from this card; draw 1 card.$$$You draw cards$Continuous/Ignition$
34853266$Tsukuyomi$Unlimited$DARK$[Spellcaster/Spirit/Effect]$$$$$4$1100$1400$$$$Cannot be Special Summoned. If this card is Normal Summoned or flipped face-up: Target 1 face-up monster on the field; change that target to face-down Defense Position. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return it to the hand.$$$Returns itself from field to hand/Activates upon Normal Summon/Changes battle positions/Flips monsters face-down$Summon/Trigger$
09596126$Chaos Sorcerer$Unlimited$DARK$[Spellcaster/Effect]$$$$$6$2300$2000$$$$Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. Once per turn: You can target 1 face-up monster on the field; banish that target. This card cannot attack the turn you activate this effect.$$$$Summon/Ignition/Condition$
81383947$White Magician Pikeru$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$2$1200$0$$$$During your Standby Phase, increase your Life Points by 400 points for each monster on your side of the field.$$$$Trigger$
21051146$Blast Magician$Unlimited$FIRE$[Spellcaster/Effect]$$$$$4$1400$1700$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves. You can remove any number of Spell Counters from this card, then target 1 face-up monster on the field with ATK less than or equal to the number of counters you removed x 700; destroy that target.$$$$Continuous/Ignition$
46128076$Ebon Magician Curran$Unlimited$DARK$[Spellcaster/Effect]$$$$$2$1200$0$$$$During your Standby Phase, inflict 300 damage to your opponent for each monster they control.$$$$Trigger$
06337436$Rapid-Fire Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1600$1200$$$$Inflict 400 damage to your opponent each time you activate a Normal Spell Card.$Normal Spell Card$$$Continuous$
91819979$Magical Blast$Unlimited$SPELL$$$$$$$$$$$$Inflict 200 damage to your opponent for each Spellcaster monster you control. During your Draw Phase, if this card is in your GY, before you draw: You can give up your normal draw this turn, and if you do, add this card to your hand.$Spellcaster$$Returns itself from Graveyard to hand/Activates from your Graveyard/Replaces normal draw$Activation requirement/Effect/Trigger-like$
05318639$Mystical Space Typhoon$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Target 1 Spell/Trap on the field; destroy that target.$$$$Effect$
71044499$Nobleman of Crossout$Unlimited$SPELL$$$$$$$$$$$$Target 1 face-down monster on the field; destroy that target, and if you do, banish it, then, if it was a Flip monster, each player reveals their Main Deck, then banishes all cards from it with that monster's name.$$Flip monster$Reveals your Deck/Reveals your opponent's Deck$Effect$
70828912$Premature Burial$Forbidden(OCG)$SPELL$$$$$$$$$Equip$$$Activate this card by paying 800 LP, then target 1 monster in your Graveyard; Special Summon that target in Attack Position and equip it with this card. When this card is destroyed, destroy the equipped monster.$$$Equips self from field$Cost/Effect/Continuous-like$
72302403$Swords of Revealing Light$Unlimited$SPELL$$$$$$$$$$$$After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.$$$Flips monsters face-up$Condition/Effect/Continuous-like$
83746708$Mage Power$Unlimited$SPELL$$$$$$$$$Equip$$$The equipped monster gains 500 ATK/DEF for each Spell/Trap you control.$$$$Continuous-like$
19613556$Heavy Storm$Forbidden(OCG)$SPELL$$$$$$$$$$$$Destroy all Spell and Trap Cards on the field.$$$$Effect$
87880531$Diffusion Wave-Motion$Unlimited$SPELL$$$$$$$$$$$$(This card is not treated as a "Fusion" card.)If your opponent controls a monster: Pay 1000 LP, then target 1 Level 7 or higher Spellcaster monster you control; this turn, it must attack all monsters your opponent controls once each, also other monsters you control cannot attack. The effects of monsters destroyed by these attacks cannot activate and are negated.$Spellcaster$$$Condition/Cost/Effect$
22589918$Reload$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Add all cards in your hand to your Deck and shuffle it. Then draw the same number of cards that you added to your Deck.$$$Returns from your hand to your Deck/You draw cards$Effect$
02314238$Dark Magic Attack$Unlimited$SPELL$$$$$$$$$$$$If you control "Dark Magician": Destroy all Spells and Traps your opponent controls.$Dark Magician$$$Activation requirement/Effect$
51481927$Spell Absorption$Unlimited$SPELL$$$$$$$$$Continuous$$$Each time a Spell Card is activated, gain 500 LP immediately after it resolves.$$$$Continuous-like$
69162969$Lightning Vortex$Unlimited$SPELL$$$$$$$$$$$$Discard 1 card; destroy all face-up monsters your opponent controls.$$$Discards for cost$Cost/Effect$
28553439$Magical Dimension$Unlimited$SPELL$$$$$$$$$Quick-Play$$$If you control a Spellcaster monster: Target 1 monster you control; Tribute that target, then Special Summon 1 Spellcaster monster from your hand, then you can destroy 1 monster on the field.$Spellcaster$$Tributes as an effect$Activation requirement/Effect$
25774450$Mystic Box$Unlimited$SPELL$$$$$$$$$$$$Target 1 monster your opponent controls and 1 monster you control; destroy the first target, then give control of the second target to your opponent.$$$Changes control$Effect$
58775978$Nightmare's Steelcage$Unlimited$SPELL$$$$$$$$$$$$This card remains on the field for 2 of your opponent's turns. While this card is face-up on the field, no monsters can attack.$$$$Condition/Continuous-like$
97077563$Call of the Haunted$Unlimited$TRAP$$$$$$$$$Continuous$$$Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.$$$$Effect/Continuous-like$
38275183$Spell Shield Type-8$Unlimited$TRAP$$$$$$$$$Counter$$$Activate 1 of these effects.●When a Spell Card is activated that targets exactly 1 monster on the field: Negate the activation, and if you do, destroy it.●When a Spell Card is activated: Send 1 Spell Card from your hand to the Graveyard; negate the activation, and if you do, destroy it.$$$Sends from your hand to your Graveyard for cost$Activation requirement/Effect/Cost$
34029630$Pitch-Black Power Stone$Unlimited$TRAP$$$$$$$$$Continuous$$$Activate this card by placing 3 Spell Counters on it. Once per turn, during your turn: You can target 1 other face-up card on the field that you can place a Spell Counter on; remove 1 Spell Counter from this card, and if you do, place 1 Spell Counter on that target. When the last Spell Counter(s) is removed from this card, destroy it.$$$$Cost/Quick-like/Continuous-like$
49010598$Divine Wrath$Unlimited$TRAP$$$$$$$$$Counter$$$When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy that monster.$$$Discards for cost$Activation requirement/Cost/Effect$
62279055$Magic Cylinder$Unlimited$TRAP$$$$$$$$$$$$When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK.$$$Activates upon attack declaration$Activation requirement/Effect$
