Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
03611830$Endymion, the Mighty Master of Magic$Unlimited$DARK$[Spellcaster/Pendulum/Effect]$$$$8$7$2800$1700$$$You can remove 6 Spell Counters from your field; Special Summon this card from the Pendulum Zone, then count the number of cards you control that can have a Spell Counter, destroy up to that many cards on the field, and if you do, place Spell Counters on this card equal to the number of cards destroyed. You can only use this effect of "Endymion, the Mighty Master of Magic" once per turn.$Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can return 1 card you control with a Spell Counter to the hand, and if you do, negate the activation, and if you do that, destroy it. Then, you can place the same number of Spell Counters on this card that the returned card had. While this card has a Spell Counter, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects. When this card with a Spell Counter is destroyed by battle: You can add 1 Normal Spell from your Deck to your hand.$Normal Spell Card$$Returns from your field to your hand/Adds from Deck to hand$Pendulum Effect /Ignition-like/Condition/Monster Effect/Quick/Continuous/Trigger$
39000945$Reflection of Endymion$Unlimited$LIGHT$[Spellcaster/Pendulum/Effect]$$$$2$7$1850$2700$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from this card; Special Summon both this card from your Pendulum Zone and 1 monster from your hand that you can place a Spell Counter on, and if you do, place 1 Spell Counter on each.$You can only Special Summon "Reflection(s) of Endymion" once per turn. If this card is Special Summoned: You can target 1 card your opponent controls, and 1 card you control with a Spell Counter, except this card; return that opponent's card and your card to the hand, then place the same number of Spell Counters on this card that your returned card had. When this card with a Spell Counter is destroyed by battle: You can add 1 "Endymion" card from your Deck to your hand.$Supports archetypes /Endymion$$Activates upon Special Summon/Returns from your field to your hand/Activates if destroyed by battle/Adds from Deck to hand$Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Trigger/Condition$
66104644$Magister of Endymion$Unlimited$EARTH$[Spellcaster/Pendulum/Effect]$$$$8$3$1500$900$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from this card; Special Summon both this card from your Pendulum Zone and 1 face-up monster from your Extra Deck that you can place a Spell Counter on, and if you do, place 1 Spell Counter on each.$You can only Special Summon "Magister(s) of Endymion" once per turn. When this card declares an attack: You can place 1 Spell Counter on it. Once per opponent's turn (Quick Effect): You can remove 3 Spell Counters from your field; Special Summon 1 monster from your Deck that you can place a Spell Counter on. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone, then place the same number of Spell Counters on it that it had as a monster.$$$Activates upon attack declaration/Activates if destroyed by battle/Activates if destroyed by card effect/Goes to Pendulum Zone$Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Trigger/Quick/Condition$
92559258$Servant of Endymion$Unlimited(OCG)$WIND$[Spellcaster/Pendulum/Effect]$$$$2$3$900$1500$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from this card; Special Summon both this card from your Pendulum Zone and 1 monster from your Deck with 1000 or more ATK that you can place a Spell Counter on, and if you do, place 1 Spell Counter on each.$You can only Special Summon "Servant(s) of Endymion" once per turn. This card with a Spell Counter can attack directly. Once per opponent's turn (Quick Effect): You can discard 1 card; place 1 Spell Counter on each card you control that you can place a Spell Counter on. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone, then place the same number of Spell Counters on it that it had as a monster.$$$Discards for cost/Activates if destroyed by battle/Activates if destroyed by card effect/Goes to Pendulum Zone$Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Continuous/Quick/Trigger/Condition$
40732515$Endymion, the Master Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$7$2700$1700$$$$You can Special Summon this card (from your hand or GY) by removing 6 Spell Counters from a "Magical Citadel of Endymion" you control. If Summoned this way: Target 1 Spell in your GY; add that target to your hand. Once per turn: You can discard 1 Spell, then target 1 card on the field; destroy that target.$Magical Citadel of Endymion/Spell Card$$Activates upon Special Summon/Adds from Graveyard to hand/Discards for cost$Unclassified/Trigger/Ignition$
73853830$Crusader of Endymion$Unlimited$LIGHT$[Spellcaster/Gemini/Effect]$$$$$4$1900$1200$$$$This card is treated as a Normal Monster while face-up on the field or in the GY. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.●Once per turn: You can target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on it, and if you do, this card gains 600 ATK until the end of this turn.$$$$Unclassified/Condition/Ignition$
02525268$Defender, the Magical Knight$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$1600$2000$$$$If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). Once per turn, if a Spellcaster monster(s) on the field would be destroyed, you can remove 1 Spell Counter from your field for each of those monsters instead.$Spellcaster$$Activates upon Normal Summon$Trigger/Continuous$
55424270$Mythical Beast Cerberus$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$1400$1400$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 500 ATK for each Spell Counter on it. At the end of the Battle Phase, if this card battled, remove all Spell Counters on it.$$$$Continuous$
54965929$Mythical Beast Medusa$Unlimited$LIGHT$[Spellcaster/Pendulum/Effect]$$$$4$4$1500$1500$$$If you have no card in your other Pendulum Zone: You can target 1 monster in your GY that you can place a Spell Counter on; destroy this card, and if you do, Special Summon that monster, and if you do that, place 1 Spell Counter on it. You can only use this effect of "Mythical Beast Medusa" once per turn.$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Once per turn, during the Battle Phase (Quick Effect): You can remove 2 Spell Counters from your field, then target 1 face-up monster on the field; its ATK/DEF become half its current ATK/DEF until the end of this turn.$$$Activates if other Pendulum Zone is unoccupied$Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Quick$
43930492$Magical Something$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1800$1300$$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. This card's Level is increased by the number of Spell Counters on it. You can remove 3 Spell Counters from this card, then target 1 Quick-Play Spell in your GY; Set that card to your Spell & Trap Zone. You can only use this effect of "Magical Something" once per turn.$Quick-Play Spell Card$$Sets from your Graveyard$Continuous/Ignition/Condition$
