Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
57482479$Luminous Soldier$Unlimited$LIGHT$[Warrior/Effect]$$$$$5$2100$1400$$$$If this card battles with a DARK monster, increase the ATK of this card by 500 points during the Damage Step.$$DARK$$Continuous$
65240384$Big Shield Gardna$Unlimited$EARTH$[Warrior/Effect]$$$$$4$100$2600$$$$When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.$$$Flips monsters face-up/Changes battle positions$Quick/Continuous$
53119267$Magical Thorn$Unlimited$TRAP$$$$$$$$$Continuous$$$When your opponent's card(s) in their hand are discarded to the Graveyard, inflict 500 points of damage to their Life Points for each card that was discarded.$$$$Continuous-like$
11091375$Luster Dragon$Unlimited$WIND$[Dragon/Normal]$$$$$4$1900$1600$$$$A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high attack power.$$$$$
81843628$Needle Worm$Unlimited$EARTH$[Insect/Effect]$$$$$2$750$600$$$$FLIP: Send the top 5 cards of your opponent's Deck to the Graveyard.$$$Sends from your opponent's Deck to your opponent's Graveyard$Flip$
88240808$Kycoo the Ghost Destroyer$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$1800$700$$$$When this card inflicts battle damage to your opponent: You can target up to 2 monsters in their GY; banish those targets. Your opponent cannot banish cards from either GY.$$$Activates when it inflicts battle damage$Trigger/Continuous$
40133511$Bazoo the Soul-Eater$Unlimited$EARTH$[Beast/Effect]$$$$$4$1600$900$$$$Once per turn: You can banish up to 3 monsters from your GY; this card gains 300 ATK for each, until the end of your opponent's turn.$$$$Ignition$
02204140$Book of Life$Unlimited$SPELL$$$$$$$$$$$$Target 1 Zombie monster in your GY and 1 monster in your opponent's GY; Special Summon the first target, also banish the second target.$Zombie$$$Effect$
03055837$Trap of Board Eraser$Unlimited$TRAP$$$$$$$$$Counter$$$When an effect that inflicts damage to your Life Points is activated (except Battle Damage), negate the damage to your Life Points. Your opponent then selects 1 card from his/her hand and discards it to his/her Graveyard.$$$Your opponent discards$Activation requirement/Effect$
53493204$Goddess with the Third Eye$Unlimited$LIGHT$[Fairy/Effect]$$$$$4$1200$1000$$$$This card can be used as a substitute for any 1 Fusion Material mentioned by name on the Fusion Monster Card, but the other material(s) must be correct.$Fusion Monster$$$Unclassified$
41855169$Jowgen the Spiritualist$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$3$200$1300$$$$You can discard 1 random card from your hand to the GY; destroy all Special Summoned monsters on the field. Neither player can Special Summon monsters.$$Special Summon$Discards for cost$Ignition/Continuous$
71283180$Tornado Bird$Unlimited$WIND$[Winged Beast/Effect]$$$$$4$1100$1000$$$$FLIP: Return 2 Spell or Trap Cards on the field to their owners' hands.$$$Returns from field to hand$Flip$
05616412$Destruction Punch$Unlimited$TRAP$$$$$$$$$$$$If the ATK of an attacking monster your opponent controls is lower than the DEF of the attacked Defense Position monster you control, destroy the attacking monster at the end of the Damage Step. (Damage calculation is applied normally.)$$$$Activation requirement/Effect$
99426834$Beastking of the Swamps$Unlimited$WATER$[Aqua/Effect]$$$$$4$1000$1100$$$$You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).$Fusion Monster$$$Unclassified$
50259460$Versago the Destroyer$Unlimited$DARK$[Fiend/Effect]$$$$$3$1100$900$$$$You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).$Fusion Monster$$$Unclassified$
$Mystical Sheep #1$$EARTH$[Beast/Effect]$$$$$3$1150$900$$$$You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).$$$$$
77044671$Pyramid Turtle$Unlimited$EARTH$[Zombie/Effect]$$$$$4$1200$1400$$$$When this card is destroyed by battle and sent to the GY: You can Special Summon 1 Zombie monster with 2000 or less DEF from your Deck.$Zombie$$Activates if destroyed by battle/Activates from your Graveyard$Trigger$
02926176$Curse of Royal$Unlimited$TRAP$$$$$$$$$Counter$$$Negate the activation and the effect of a Spell or Trap Card that includes the effect of destroying 1 Spell or Trap Card and destroy it.$$$$Effect$
87523462$Winged Sage Falcos$Unlimited$WIND$[Winged Beast/Effect]$$$$$4$1700$1200$$$$When this card destroys an opponent's face-up Attack Position monster by battle and sends it to their Graveyard: You can place that monster on top of their Deck.$$$Returns from your opponent's Graveyard to your opponent's Deck$Trigger$
78053598$Dark Designator$Unlimited$SPELL$$$$$$$$$$$$Declare 1 Monster Card name. If the declared card is in your opponent's Deck, add 1 of that card to your opponent's hand.$$$Declares a card name/Adds from Deck to hand$Effect$
