Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
83274244$Dododo Warrior$Unlimited$EARTH$[Warrior/Effect]$$$$$6$2300$900$$$$You can Normal Summon this card without Tributing, but its original ATK becomes 1800. If this card attacks, negate all card effects that activate in the opponent's Graveyard, until the end of the Damage Step.$$$$Summon/Continuous$
29669359$Number 61: Volcasaurus$Unlimited$FIRE$[Dinosaur/Xyz/Effect]$$$5$$$2500$1000$$2 Level 5 monsters$$Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; destroy that opponent's monster, and if you do, inflict damage to your opponent equal to the destroyed monster's original ATK. This card cannot attack your opponent directly during the turn you activate this effect.$$$$Ignition$
55067058$Number 19: Freezadon$Unlimited$WATER$[Dinosaur/Xyz/Effect]$$$5$$$2000$2500$$2 Level 5 monsters$$Once per turn, if an Xyz Monster you control would activate an effect by detaching an Xyz Material(s), you can detach 1 Xyz Material from this card instead of 1 of those Xyz Materials.$Xyz Monster$$Detaches Xyz Materials for effect/Replaces detaching own Xyz Materials for cost$Continuous$
82052602$Gagagaback$Unlimited$SPELL$$$$$$$$$Quick-Play$$$During the turn a "Gagaga" monster you control was destroyed by battle and sent to the Graveyard: Special Summon from your Graveyard as many monsters as possible that were destroyed by battle this turn, in face-up Defense Position, then take 600 damage for each monster Special Summoned by this effect. You can only activate 1 "Gagagaback" per turn.$Supports archetypes /Gagaga$$Activates if destroyed by battle$Activation requirement/Effect/Condition$
18446701$Gagagashield$Unlimited$TRAP$$$$$$$$$$$$Target 1 Spellcaster monster you control; equip this card to that target. Twice per turn, it cannot be destroyed by battle or card effects.$Spellcaster$$Equips self from field$Effect/Continuous-like$
36834155$Photon Pirate$Unlimited$LIGHT$[Machine/Effect]$$$$$3$1000$1000$$$$You can banish 1 "Photon" monster from your Graveyard; this card gains 1000 ATK until the End Phase. You can use the effect of "Photon Pirate" up to twice per turn.$Supports archetypes /Photon$$$Ignition$
63223260$Photon Satellite$Unlimited$LIGHT$[Machine/Effect]$$$$$1$0$0$$$$Once per turn: You can target 1 other "Photon" monster you control; the Levels of both that monster and this card become the combined current Levels of those 2 monsters.$Supports archetypes /Photon$$$Ignition$
09718968$Photon Slasher$Unlimited$LIGHT$[Warrior/Effect]$$$$$5$2100$1000$$$$If a face-up Xyz Monster is on the field, you can Special Summon this card (from your hand) in face-up Defense Position.$Xyz Monster$$$Summon$
35112613$Kuriphoton$Unlimited$LIGHT$[Fiend/Effect]$$$$$1$300$200$$$$(Quick Effect): You can send this card from your hand to the GY and pay 2000 LP; you take no damage this turn. If this card is in your GY: You can send 1 "Photon" monster from your hand to the GY, except "Kuriphoton"; add this card from your GY to your hand. You can only use this effect of "Kuriphoton" once per turn.$Supports archetypes /Photon$$Sends itself from hand to Graveyard for cost/Sends from hand to Graveyard for cost/Activates from your Graveyard/Returns itself from Graveyard to hand$Quick/Ignition/Condition$
62107612$Dimension Wanderer$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$1$0$0$$$$When a monster is banished by the effect of "Galaxy-Eyes Photon Dragon": You can send this card from your hand to the Graveyard; inflict 3000 damage to your opponent. You can only use the effect of "Dimension Wanderer" once per turn.$Galaxy-Eyes Photon Dragon$$Sends itself from hand to Graveyard for cost$Trigger$
98555327$Galaxy Wizard$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$0$1800$$$$Once per turn: You can increase this card's Level by 4 until the end of this turn. You can Tribute this card; add 1 "Galaxy" card from your Deck to your hand, except "Galaxy Wizard".$Supports archetypes /Galaxy$$Adds from Deck to hand/Tributes itself for cost$Ignition$
35950025$Galaxy Knight$Unlimited$LIGHT$[Warrior/Effect]$$$$$8$2800$2600$$$$If you control a "Photon" or "Galaxy" monster, you can Normal Summon this card without Tributing. If Summoned this way: Target 1 "Galaxy-Eyes Photon Dragon" in your GY (if possible); regardless, this card loses 1000 ATK, and if it does, Special Summon that target (if any) in Defense Position. This ATK decrease lasts until the end of this turn.$Supports archetypes /Photon/Galaxy$$$Summon/Trigger$
55935416$Number 56: Gold Rat$Unlimited$LIGHT$[Beast/Xyz/Effect]$$$1$$$500$600$$3 Level 1 monsters$$Once per turn: You can detach 1 Xyz Material from this card; draw 1 card, then shuffle 1 card from your hand into the Deck.$$$You draw cards/Returns from your hand to your Deck$Ignition$
61344030$Starliege Paladynamo$Unlimited$LIGHT$[Warrior/Xyz/Effect]$$$4$$$2000$1000$$2 Level 4 LIGHT monsters$$Once per turn: You can detach 2 Xyz Materials from this card, then target 1 face-up monster your opponent controls; change its ATK to 0, and if you do, it has its effects negated. If this card you control is destroyed by an opponent's card (by battle or card effect) and sent to your Graveyard: Draw 1 card.$LIGHT$$Detaches multiple Xyz Materials as cost/You draw cards$Ignition/Trigger$
97433739$Message in a Bottle$Unlimited$SPELL$$$$$$$$$$$$Target 3 monsters with different Levels in your Graveyard; Special Summon all 3 of them. Their ATK's become 0, also their effects are negated. If you do not Xyz Summon this turn after Summoning those 3 monsters, you lose 4000 Life Points during the End Phase. You cannot Special Summon any other monsters, except by Xyz Summon, during the turn you activate this card.$Xyz Monster$$$Effect/Condition$
34838437$Accellight$Unlimited$SPELL$$$$$$$$$$$$If you control no monsters: Special Summon 1 Level 4 or lower "Photon" or "Galaxy" monster from your Deck. You can only activate 1 "Accellight" per turn. You cannot Normal Summon/Set during the turn you activate this card.$Supports archetypes /Photon/Galaxy$$$Activation requirement/Effect/Condition$
60222582$Galaxy Expedition$Unlimited$SPELL$$$$$$$$$$$$If you control a Level 5 or higher "Photon" or "Galaxy" monster: Special Summon 1 Level 5 or higher "Photon" or "Galaxy" monster from your Deck in Defense Position. You can only activate 1 "Galaxy Expedition" per turn.$Supports archetypes /Photon/Galaxy$$$Activation requirement/Effect/Condition$
